Source,Target,Polarity
TP53__Perceptron,CD8+T-cell__1,positive
MYC__Perceptron,CD8+T-cell__1,positive
IL6__Perceptron,CD8+T-cell__1,positive
AKT1__Perceptron,CD8+T-cell__1,positive
IFNARligand,CD8+T-cell__1,positive
IL1B__Perceptron,CD8+T-cell__2,positive
metformin,CD8+T-cell__2,positive
ERBB2__Perceptron,CD8+T-cell__2,positive
TORC1__Perceptron,CD8+T-cell__2,positive
CD8+T-cell__1,CD8+T-cell__Perceptron,NaN
CD8+T-cell__2,CD8+T-cell__Perceptron,NaN
CHEK2,CDK1__1,negative
glucose__Perceptron,CDK1__1,positive
ATP__Perceptron,CDK1__1,positive
RasGTPase__Perceptron,CDK1__1,negative
ABL1__Perceptron,CDK1__1,negative
AURKA,CDK1__2,positive
AKT1__Perceptron,CDK1__2,positive
E2F,CDK1__2,positive
MYC__Perceptron,CDK1__2,positive
TP53__Perceptron,CDK1__2,negative
CCNB1,CDK1__3,positive
E2F1__Perceptron,CDK1__3,positive
PI3K__Perceptron,CDK1__3,positive
ATM/ATR,CDK1__3,negative
CDK1__1,CDK1__Perceptron,NaN
CDK1__2,CDK1__Perceptron,NaN
CDK1__3,CDK1__Perceptron,NaN
CDKN2A,CDK4/6,negative
MYC__Perceptron,CDK4/6,positive
TGFB1__Perceptron,CDK4/6,negative
TP53__Perceptron,CDKN2A,negative
E2F1__Perceptron,CDKN2A,positive
TP53BP1,CHEK1__1,positive
BRCA1,CHEK1__1,positive
MRNcomplex,CHEK1__1,positive
PI3K__Perceptron,CHEK1__1,positive
ReplicationfactorA,CHEK1__1,positive
E2F1__Perceptron,CHEK1__2,positive
PARP1__Perceptron,CHEK1__2,positive
RAD9A,CHEK1__2,positive
TP53__Perceptron,CHEK1__2,negative
CHEK1__1,CHEK1__Perceptron,NaN
CHEK1__2,CHEK1__Perceptron,NaN
AKT1__Perceptron,CHEK2,negative
ATP__Perceptron,CHEK2,negative
MRNcomplex,CHEK2,positive
TP53BP1,CHEK2,positive
lactate__Perceptron,CO2__1,positive
pyruvate__Perceptron,CO2__1,positive
H+__Perceptron,CO2__1,positive
glucose__Perceptron,CO2__1,positive
ATP__Perceptron,CO2__1,positive
hypoxia,CO2__2,negative
formicacid,CO2__2,positive
oxygen__Perceptron,CO2__2,positive
glutamine__Perceptron,CO2__2,positive
CO2__1,CO2__Perceptron,NaN
CO2__2,CO2__Perceptron,NaN
ROS__Perceptron,CPT1A,negative
docosahexaenoicacid,CPT1A,positive
coenzymeA,CPT1A,negative
acetyl-CoA__Perceptron,CPT1A,negative
ACACA__Perceptron,CPT1A,negative
citrate__Perceptron,CPT1A,negative
ATP__Perceptron,DHFR,positive
NADPH__Perceptron,DHFR,positive
MYC__Perceptron,E2F,positive
TNF__Perceptron,E2F,positive
hypoxia,E2F,negative
CDK4/6,E2F,positive
BCL2__Perceptron,E2F,negative
ABL1__Perceptron,E2F,positive
BCL2__Perceptron,E2F1__1,negative
ROS__Perceptron,E2F1__1,positive
CHEK1__Perceptron,E2F1__1,positive
hypoxia,E2F1__1,positive
TP53__Perceptron,E2F1__2,negative
MYC__Perceptron,E2F1__2,positive
CDKN2A,E2F1__2,negative
EGFR__Perceptron,E2F1__2,positive
E2F1__1,E2F1__Perceptron,NaN
E2F1__2,E2F1__Perceptron,NaN
ERBB2__Perceptron,EGFR__1,negative
PKM,EGFR__1,positive
IL1B__Perceptron,EGFR__1,positive
ATP__Perceptron,EGFR__1,positive
TP53__Perceptron,EGFR__1,positive
ABL1__Perceptron,EGFR__1,negative
BRAF__Perceptron,EGFR__2,negative
receptorprotein-tyrosinekinase__Perceptron,EGFR__2,positive
acetylcholine__Perceptron,EGFR__2,positive
IL6__Perceptron,EGFR__2,positive
FASN,EGFR__2,positive
GlcNAc,EGFR__3,negative
AKT1__Perceptron,EGFR__3,positive
MAPK14__Perceptron,EGFR__3,positive
cysteine,EGFR__3,positive
ROS__Perceptron,EGFR__3,positive
hypoxia,EGFR__4,positive
AMPK__Perceptron,EGFR__4,negative
PIK3CA,EGFR__4,negative
docosahexaenoicacid,EGFR__4,negative
TNF__Perceptron,EGFR__4,positive
EGFR__3,EGFR__Perceptron,NaN
EGFR__4,EGFR__Perceptron,NaN
EGFR__1,EGFR__Perceptron,NaN
EGFR__2,EGFR__Perceptron,NaN
docosahexaenoicacid,ERBB2__1,negative
IL1B__Perceptron,ERBB2__1,positive
proteintyrosinekinase__Perceptron,ERBB2__1,positive
TP53__Perceptron,ERBB2__1,negative
glutamate__Perceptron,ERBB2__2,positive
IL6__Perceptron,ERBB2__2,positive
receptorprotein-tyrosinekinase__Perceptron,ERBB2__2,positive
ERBB2__1,ERBB2__Perceptron,NaN
ERBB2__2,ERBB2__Perceptron,NaN
BRCA1,FANCD2,positive
TP53__Perceptron,FASN,unknown
SREBF1__Perceptron,FASN,positive
docosahexaenoicacid,FASN,negative
hypoxia,FASN,positive
ABL1__Perceptron,G1/Stransitioncheckpoint__1,positive
MAPK14__Perceptron,G1/Stransitioncheckpoint__1,positive
PPARG__Perceptron,G1/Stransitioncheckpoint__1,positive
histonedeacetylase__Perceptron,G1/Stransitioncheckpoint__1,negative
TNF__Perceptron,G1/Stransitioncheckpoint__1,positive
CDK4/6,G1/Stransitioncheckpoint__1,negative
PRKCD__Perceptron,G1/Stransitioncheckpoint__2,positive
HMGCR,G1/Stransitioncheckpoint__2,negative
TP73,G1/Stransitioncheckpoint__2,positive
metformin,G1/Stransitioncheckpoint__2,positive
AKT1__Perceptron,G1/Stransitioncheckpoint__2,negative
CDKN2A,G1/Stransitioncheckpoint__2,positive
CHEK2,G1/Stransitioncheckpoint__3,positive
proteintyrosinekinase__Perceptron,G1/Stransitioncheckpoint__3,negative
IFNARligand,G1/Stransitioncheckpoint__3,positive
AMPK__Perceptron,G1/Stransitioncheckpoint__3,positive
MTOR__Perceptron,G1/Stransitioncheckpoint__3,negative
E2F,G1/Stransitioncheckpoint__4,negative
ROS__Perceptron,G1/Stransitioncheckpoint__4,positive
BCL2__Perceptron,G1/Stransitioncheckpoint__4,negative
IFNG__Perceptron,G1/Stransitioncheckpoint__4,positive
MYC__Perceptron,G1/Stransitioncheckpoint__4,negative
SMARCB1,G1/Stransitioncheckpoint__5,positive
oxygen__Perceptron,G1/Stransitioncheckpoint__5,positive
EGFR__Perceptron,G1/Stransitioncheckpoint__5,negative
IGFBP7,G1/Stransitioncheckpoint__5,positive
BRCA1,G1/Stransitioncheckpoint__5,positive
IL6__Perceptron,G1/Stransitioncheckpoint__6,positive
PARP1__Perceptron,G1/Stransitioncheckpoint__6,positive
STK11__Perceptron,G1/Stransitioncheckpoint__6,positive
BRD4,G1/Stransitioncheckpoint__6,positive
ERBB2__Perceptron,G1/Stransitioncheckpoint__6,negative
PI3K__Perceptron,G1/Stransitioncheckpoint__7,negative
glucose__Perceptron,G1/Stransitioncheckpoint__7,positive
CDK1__Perceptron,G1/Stransitioncheckpoint__7,negative
TGFB1__Perceptron,G1/Stransitioncheckpoint__7,positive
KLF4,G1/Stransitioncheckpoint__7,positive
G1/Stransitioncheckpoint__7,G1/Stransitioncheckpoint__Perceptron,NaN
G1/Stransitioncheckpoint__5,G1/Stransitioncheckpoint__Perceptron,NaN
G1/Stransitioncheckpoint__6,G1/Stransitioncheckpoint__Perceptron,NaN
G1/Stransitioncheckpoint__4,G1/Stransitioncheckpoint__Perceptron,NaN
G1/Stransitioncheckpoint__2,G1/Stransitioncheckpoint__Perceptron,NaN
G1/Stransitioncheckpoint__1,G1/Stransitioncheckpoint__Perceptron,NaN
G1/Stransitioncheckpoint__3,G1/Stransitioncheckpoint__Perceptron,NaN
AKT1__Perceptron,G2DNAdamagecheckpoint__1,negative
AURKA,G2DNAdamagecheckpoint__1,negative
TP53__Perceptron,G2DNAdamagecheckpoint__1,positive
CCNB1,G2DNAdamagecheckpoint__1,negative
MAPK14__Perceptron,G2DNAdamagecheckpoint__1,positive
TP53BP1,G2DNAdamagecheckpoint__2,positive
MRNcomplex,G2DNAdamagecheckpoint__2,positive
H2AFX,G2DNAdamagecheckpoint__2,positive
BRCA1,G2DNAdamagecheckpoint__2,positive
ATM/ATR,G2DNAdamagecheckpoint__2,positive
G2DNAdamagecheckpoint__1,G2DNAdamagecheckpoint__Perceptron,NaN
G2DNAdamagecheckpoint__2,G2DNAdamagecheckpoint__Perceptron,NaN
ROS__Perceptron,GAPDH__1,unknown
lactate__Perceptron,GAPDH__1,negative
HIF-1__Perceptron,GAPDH__1,positive
NADH__Perceptron,GAPDH__1,negative
ADP,GAPDH__1,negative
BCL2__Perceptron,GAPDH__1,negative
hypoxia,GAPDH__2,positive
AMP,GAPDH__2,negative
MYC__Perceptron,GAPDH__2,positive
PARP1__Perceptron,GAPDH__2,negative
TP53__Perceptron,GAPDH__2,positive
cysteine,GAPDH__2,negative
AMPK__Perceptron,GAPDH__3,positive
IL1B__Perceptron,GAPDH__3,positive
NAD+__Perceptron,GAPDH__3,negative
pyruvate__Perceptron,GAPDH__3,positive
glucose__Perceptron,GAPDH__3,positive
GAPDH__3,GAPDH__Perceptron,NaN
GAPDH__1,GAPDH__Perceptron,NaN
GAPDH__2,GAPDH__Perceptron,NaN
Pi,GLS,positive
metformin,GLS,negative
ATP__Perceptron,GLS,positive
glutamate__Perceptron,GLS,negative
glucose__Perceptron,GlcNAc,positive
cytochromecoxidase__Perceptron,H+-transportingtwo-sectorATPase__1,positive
glucose__Perceptron,H+-transportingtwo-sectorATPase__1,positive
TP53__Perceptron,H+-transportingtwo-sectorATPase__1,positive
phospholipid__Perceptron,H+-transportingtwo-sectorATPase__1,positive
AKT1__Perceptron,H+-transportingtwo-sectorATPase__1,positive
succinate__Perceptron,H+-transportingtwo-sectorATPase__2,negative
oxygen__Perceptron,H+-transportingtwo-sectorATPase__2,negative
D-2-hydroxyglutarate,H+-transportingtwo-sectorATPase__2,negative
alpha-ketoglutarate__Perceptron,H+-transportingtwo-sectorATPase__2,negative
H+-transportingtwo-sectorATPase__2,H+-transportingtwo-sectorATPase__Perceptron,NaN
H+-transportingtwo-sectorATPase__1,H+-transportingtwo-sectorATPase__Perceptron,NaN
formicacid,H+__1,positive
lactate__Perceptron,H+__1,positive
AMP,H+__1,positive
oxygen__Perceptron,H+__1,positive
pyruvate__Perceptron,H+__1,positive
ROS__Perceptron,H+__2,positive
glucose__Perceptron,H+__2,positive
AMPK__Perceptron,H+__2,positive
phospholipid__Perceptron,H+__2,positive
NADH__Perceptron,H+__2,positive
glutamate__Perceptron,H+__3,positive
succinate__Perceptron,H+__3,positive
ATP__Perceptron,H+__3,positive
Pi,H+__3,positive
NADPH__Perceptron,H+__3,positive
CO2__Perceptron,H+__4,positive
hypoxia,H+__4,positive
PPi,H+__4,positive
NH3__Perceptron,H+__4,positive
succinatedehydrogenase(ubiquinone)__Perceptron,H+__4,positive
H+__1,H+__Perceptron,NaN
H+__4,H+__Perceptron,NaN
H+__3,H+__Perceptron,NaN
H+__2,H+__Perceptron,NaN
glucose__Perceptron,H2AFX,positive
H+__Perceptron,H2AFX,positive
MAPK14__Perceptron,H2AFX,positive
MRNcomplex,H2AFX,positive
succinate__Perceptron,HIF-1__1,positive
glycine,HIF-1__1,positive
PKM,HIF-1__1,positive
acetylcholine__Perceptron,HIF-1__1,positive
lactate__Perceptron,HIF-1__1,positive
pyruvate__Perceptron,HIF-1__2,positive
succinatedehydrogenase(ubiquinone)__Perceptron,HIF-1__2,negative
histonedeacetylase__Perceptron,HIF-1__2,positive
EGFR__Perceptron,HIF-1__2,positive
MAPK14__Perceptron,HIF-1__2,positive
hypoxia,HIF-1__3,positive
ROS__Perceptron,HIF-1__3,positive
PARP1__Perceptron,HIF-1__3,positive
glucose__Perceptron,HIF-1__3,positive
ubiquinol-cytochromecreductase,HIF-1__3,positive
HIF-1__2,HIF-1__Perceptron,NaN
HIF-1__3,HIF-1__Perceptron,NaN
HIF-1__1,HIF-1__Perceptron,NaN
HIF-1__Perceptron,HK2,positive
hypoxia,HK2,positive
metformin,HK2,negative
MTOR__Perceptron,HK2,positive
MYC__Perceptron,HK2,positive
PPARG__Perceptron,HK2,positive
ROS__Perceptron,HMGCR,positive
hypoxia,HMGCR,negative
adenylatekinase__Perceptron,HMGCR,negative
ATP__Perceptron,HMGCR,negative
SREBF1__Perceptron,HMGCR,positive
docosahexaenoicacid,HMGCR,negative
TNF__Perceptron,IFNARligand,negative
TGFB1__Perceptron,IFNARligand,negative
ATP__Perceptron,IFNG__1,positive
ERBB2__Perceptron,IFNG__1,positive
IFNARligand,IFNG__1,positive
NOTCH1__Perceptron,IFNG__1,positive
PPARG__Perceptron,IFNG__1,negative
docosahexaenoicacid,IFNG__2,negative
glutamate__Perceptron,IFNG__2,positive
MAPK14__Perceptron,IFNG__2,positive
PI3K__Perceptron,IFNG__2,positive
TNF__Perceptron,IFNG__2,positive
IFNG__1,IFNG__Perceptron,NaN
IFNG__2,IFNG__Perceptron,NaN
BRAF__Perceptron,IGFBP7,positive
aceticacid__Perceptron,IL1B__1,negative
BCL2__Perceptron,IL1B__1,negative
PPARG__Perceptron,IL1B__1,negative
glycine,IL1B__1,negative
lactate__Perceptron,IL1B__1,positive
acetylcholine__Perceptron,IL1B__2,negative
proteintyrosinekinase__Perceptron,IL1B__2,positive
docosahexaenoicacid,IL1B__2,negative
histonedeacetylase__Perceptron,IL1B__2,positive
MAPK14__Perceptron,IL1B__2,positive
ROS__Perceptron,IL1B__3,positive
NFE2L2__Perceptron,IL1B__3,negative
glucosamine,IL1B__3,negative
hypoxia,IL1B__3,positive
ADP,IL1B__3,positive
glucose__Perceptron,IL1B__4,positive
PI3K__Perceptron,IL1B__4,positive
ATP__Perceptron,IL1B__4,positive
TNF__Perceptron,IL1B__4,positive
IFNG__Perceptron,IL1B__4,positive
IL1B__1,IL1B__Perceptron,NaN
IL1B__2,IL1B__Perceptron,NaN
IL1B__3,IL1B__Perceptron,NaN
IL1B__4,IL1B__Perceptron,NaN
hypoxia,IL6__1,positive
docosahexaenoicacid,IL6__1,negative
TGFB1__Perceptron,IL6__1,positive
PI3K__Perceptron,IL6__1,positive
acetylcholine__Perceptron,IL6__1,negative
metformin,IL6__1,negative
AKT1__Perceptron,IL6__2,positive
EGFR__Perceptron,IL6__2,positive
PPARG__Perceptron,IL6__2,negative
MTOR__Perceptron,IL6__2,negative
IFNARligand,IL6__2,positive
TNF__Perceptron,IL6__2,positive
TP53__Perceptron,IL6__3,negative
proteintyrosinekinase__Perceptron,IL6__3,positive
NFE2L2__Perceptron,IL6__3,unknown
IFNG__Perceptron,IL6__3,positive
ERBB2__Perceptron,IL6__3,positive
ascorbicacid,IL6__3,negative
IL1B__Perceptron,IL6__4,positive
NOTCH1__Perceptron,IL6__4,positive
glucose__Perceptron,IL6__4,positive
RasGTPase__Perceptron,IL6__4,positive
ATP__Perceptron,IL6__4,positive
MAPK14__Perceptron,IL6__5,positive
oxygen__Perceptron,IL6__5,positive
glycine,IL6__5,negative
ROS__Perceptron,IL6__5,positive
dehydroepiandrosterone,IL6__5,negative
IL6__5,IL6__Perceptron,NaN
IL6__3,IL6__Perceptron,NaN
IL6__4,IL6__Perceptron,NaN
IL6__1,IL6__Perceptron,NaN
IL6__2,IL6__Perceptron,NaN
histonedeacetylase__Perceptron,KLF4,negative
hypoxia,KLF4,negative
PPARG__Perceptron,KLF4,positive
PRKCD__Perceptron,KLF4,positive
receptorprotein-tyrosinekinase__Perceptron,KRAS,positive
IL6__Perceptron,KRAS,positive
metformin,KRAS,negative
hypoxia,LDHA,positive
MYC__Perceptron,LDHA,positive
NADH__Perceptron,LDHA,negative
IL6__Perceptron,MAPK14__1,positive
glucosamine,MAPK14__1,negative
TP53__Perceptron,MAPK14__1,positive
PI3K__Perceptron,MAPK14__1,positive
BRCA1,MAPK14__1,negative
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,MAPK14__1,positive
CHEK1__Perceptron,MAPK14__2,positive
IL1B__Perceptron,MAPK14__2,positive
proteintyrosinekinase__Perceptron,MAPK14__2,positive
acetaldehyde,MAPK14__2,positive
glucose__Perceptron,MAPK14__2,positive
KLF4,MAPK14__2,positive
RasGTPase__Perceptron,MAPK14__3,positive
ADP,MAPK14__3,positive
KRAS,MAPK14__3,positive
hypoxia,MAPK14__3,positive
docosahexaenoicacid,MAPK14__3,negative
IFNARligand,MAPK14__4,positive
oxygen__Perceptron,MAPK14__4,positive
AMP,MAPK14__4,positive
EGFR__Perceptron,MAPK14__4,positive
receptorprotein-tyrosinekinase__Perceptron,MAPK14__4,positive
ATP__Perceptron,MAPK14__5,positive
PARP1__Perceptron,MAPK14__5,positive
ERBB2__Perceptron,MAPK14__5,positive
ROS__Perceptron,MAPK14__5,positive
IFNG__Perceptron,MAPK14__5,positive
MAPK14__5,MAPK14__Perceptron,NaN
MAPK14__4,MAPK14__Perceptron,NaN
MAPK14__1,MAPK14__Perceptron,NaN
MAPK14__2,MAPK14__Perceptron,NaN
MAPK14__3,MAPK14__Perceptron,NaN
TP73,MDM2__1,positive
hypoxia,MDM2__1,positive
PI3K__Perceptron,MDM2__1,positive
AKT1__Perceptron,MDM2__1,positive
CHEK2,MDM2__1,negative
histonedeacetylase__Perceptron,MDM2__2,positive
CDKN2A,MDM2__2,negative
NFE2L2__Perceptron,MDM2__2,positive
TP53__Perceptron,MDM2__2,positive
MDM2__1,MDM2__Perceptron,NaN
MDM2__2,MDM2__Perceptron,NaN
CDK1__Perceptron,MTOR__1,positive
IL1B__Perceptron,MTOR__1,positive
glucose__Perceptron,MTOR__1,positive
STK11__Perceptron,MTOR__1,negative
PRKCD__Perceptron,MTOR__1,positive
