Source,Target,Polarity
IL1B,acetylcholine,negative
IL6,acetylcholine,negative
pyruvatedehydrogenase(acetyl-transferring),acetylcholine,positive
aceticacid,acetyl-CoA,positive
AKT1,acetyl-CoA,positive
AMPK,acetyl-CoA,negative
ATP,acetyl-CoA,positive
citrate,acetyl-CoA,positive
coenzymeA,acetyl-CoA,positive
glucose,acetyl-CoA,positive
glutamine,acetyl-CoA,positive
MYC,acetyl-CoA,positive
pyruvate,acetyl-CoA,positive
ATP,acetyl-CoAhydrolase,positive
aceticacid,acetylphosphate,positive
acetylcholine,ACHE,negative
acetylcholinesterase,ACHE,negative
ascorbicacid,ACHE,negative
glucose,ACHE,positive
glutamate,ACHE,positive
metformin,ACHE,negative
NH3,ACHE,negative
oxygen,ACHE,negative
Pi,ACHE,negative
ROS,ACHE,positive
citrate,ACLY,positive
coenzymeA,ACLY,negative
SREBF1,ACLY,positive
aceticacid,ACSS2,positive
hypoxia,ACSS2,positive
SREBF1,ACSS2,positive
ADP,adenylatekinase,positive
AKT1,adenylatekinase,negative
AMP,adenylatekinase,positive
ATP,adenylatekinase,positive
IL6,adenylatekinase,positive
metformin,adenylatekinase,positive
ROS,adenylatekinase,positive
TP53,adenylatekinase,positive
AKT1,ADP,positive
glucose,ADP,positive
glutamate,ADP,negative
oxygen,ADP,negative
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,AKT1,positive
ABL1,AKT1,positive
ADP,AKT1,positive
AMP,AKT1,positive
ascorbicacid,AKT1,positive
ATP,AKT1,positive
AURKA,AKT1,positive
docosahexaenoicacid,AKT1,negative
E2F,AKT1,positive
E2F1,AKT1,positive
FASN,AKT1,positive
glucose,AKT1,negative
glycine,AKT1,positive
histonedeacetylase,AKT1,positive
HMGCR,AKT1,negative
hypoxia,AKT1,positive
IFNG,AKT1,positive
IL6,AKT1,positive
KRAS,AKT1,positive
lactate,AKT1,positive
MYC,AKT1,positive
NAD+,AKT1,negative
NADH,AKT1,positive
NFE2L2,AKT1,positive
PARP1,AKT1,negative
phenformin,AKT1,negative
phospholipid,AKT1,positive
PI3K,AKT1,positive
PIK3CA,AKT1,positive
receptorprotein-tyrosinekinase,AKT1,positive
ROS,AKT1,negative
STK11,AKT1,negative
TNF,AKT1,positive
acetaldehyde,aldehydedehydrogenase(NAD+),negative
glucose,aldehydedehydrogenase(NAD+),negative
ascorbicacid,alpha-ketoglutarate,negative
glucose,alpha-ketoglutarate,positive
glutamate,alpha-ketoglutarate,positive
glutamine,alpha-ketoglutarate,positive
NADH,alpha-ketoglutarate,positive
oxaloacetate,alpha-ketoglutarate,positive
pyruvate,alpha-ketoglutarate,positive
ADP,AMP,positive
glutamate,AMP,negative
lysine,AMP,positive
NAD+,AMP,positive
oxygen,AMP,positive
aceticacid,AMPK,positive
ACLY,AMPK,negative
adenylatekinase,AMPK,positive
ADP,AMPK,positive
AKT1,AMPK,negative
AMP,AMPK,positive
ATP,AMPK,positive
BRAF,AMPK,negative
docosahexaenoicacid,AMPK,positive
EGFR,AMPK,positive
glucose,AMPK,unknown
glutamate,AMPK,positive
glutamine,AMPK,positive
H+,AMPK,positive
hypoxia,AMPK,positive
IL6,AMPK,positive
lactate,AMPK,positive
metformin,AMPK,positive
MYC,AMPK,positive
NADH,AMPK,positive
NADHdehydrogenase(ubiquinone),AMPK,negative
PARP1,AMPK,positive
phenformin,AMPK,positive
PI3K,AMPK,positive
PPARG,AMPK,positive
proteintyrosinekinase,AMPK,positive
ROS,AMPK,positive
STK11,AMPK,positive
TGFB1,AMPK,positive
TORC1,AMPK,negative
TP53,AMPK,positive
ABL1,apoptosis,positive
ACACA,apoptosis,negative
acetaldehyde,apoptosis,positive
aceticacid,apoptosis,positive
acetylcholine,apoptosis,negative
ACHE,apoptosis,positive
ACLY,apoptosis,negative
AKT1,apoptosis,negative
aldehydedehydrogenase(NAD+),apoptosis,negative
AMP,apoptosis,positive
aspartate,apoptosis,positive
ATM/ATR,apoptosis,positive
ATP,apoptosis,positive
AURKA,apoptosis,negative
AURKB,apoptosis,negative
BCL11A,apoptosis,negative
BCL2,apoptosis,negative
BRAF,apoptosis,negative
BRCA1,apoptosis,positive
BRD4,apoptosis,negative
BUB1B,apoptosis,positive
CCNB1,apoptosis,positive
CDK4/6,apoptosis,negative
CDKN2A,apoptosis,positive
CHEK1,apoptosis,negative
citrate,apoptosis,positive
CO2,apoptosis,positive
CPT1A,apoptosis,negative
dehydroepiandrosterone,apoptosis,negative
DHFR,apoptosis,negative
docosahexaenoicacid,apoptosis,positive
E2F,apoptosis,positive
E2F1,apoptosis,positive
EGFR,apoptosis,negative
ERBB2,apoptosis,negative
FANCD2,apoptosis,negative
FASN,apoptosis,negative
formicacid,apoptosis,positive
glucosamine,apoptosis,positive
glucose,apoptosis,positive
glutamate,apoptosis,positive
glutamine,apoptosis,negative
glycine,apoptosis,negative
H+,apoptosis,positive
H2AFX,apoptosis,positive
HIF-1,apoptosis,positive
histonedeacetylase,apoptosis,negative
HK2,apoptosis,negative
HMGCR,apoptosis,negative
IDH2,apoptosis,negative
IFNARligand,apoptosis,positive
IFNG,apoptosis,positive
IGFBP7,apoptosis,positive
IL1B,apoptosis,positive
IL6,apoptosis,negative
KLF4,apoptosis,positive
LDHA,apoptosis,negative
malate,apoptosis,negative
MAPK14,apoptosis,positive
MDM2,apoptosis,negative
metformin,apoptosis,positive
MRNcomplex,apoptosis,positive
MTOR,apoptosis,negative
MYC,apoptosis,positive
NADH,apoptosis,negative
NADHdehydrogenase(ubiquinone),apoptosis,negative
NADPH,apoptosis,negative
NFE2L2,apoptosis,negative
NH3,apoptosis,positive
NOTCH1,apoptosis,negative
ornithine,apoptosis,negative
oxygen,apoptosis,positive
PARP1,apoptosis,positive
PFKFB3,apoptosis,negative
phenformin,apoptosis,positive
PHGDH,apoptosis,negative
phospholipid,apoptosis,positive
Pi,apoptosis,positive
PI3K,apoptosis,negative
PIK3CA,apoptosis,negative
PKM,apoptosis,negative
PPARG,apoptosis,positive
PPi,apoptosis,positive
PRKCD,apoptosis,positive
pyruvate,apoptosis,negative
RAD9A,apoptosis,positive
receptorprotein-tyrosinekinase,apoptosis,negative
ReplicationfactorA,apoptosis,negative
ribonucleoside-diphosphatereductase,apoptosis,negative
ROS,apoptosis,positive
SLC2A1,apoptosis,negative
SMARCB1,apoptosis,positive
SREBF2,apoptosis,positive
STK11,apoptosis,positive
succinatedehydrogenase(ubiquinone),apoptosis,positive
TGFB1,apoptosis,positive
TNF,apoptosis,positive
TP53,apoptosis,positive
TP53BP1,apoptosis,positive
TP73,apoptosis,positive
TYMS,apoptosis,negative
glutamate,ascorbicacid,positive
ROS,ascorbicacid,negative
glutamine,aspartate,positive
hypoxia,aspartate,positive
malate,aspartate,positive
oxaloacetate,aspartate,positive
pyruvate,aspartate,positive
MRNcomplex,ATM/ATR,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,ATP,positive
aceticacid,ATP,positive
acetylcholine,ATP,positive
acetyl-CoA,ATP,positive
acylphosphatase,ATP,negative
ADP,ATP,positive
AKT1,ATP,positive
alpha-ketoglutarate,ATP,positive
AMPK,ATP,positive
ascorbicacid,ATP,positive
CCNB1,ATP,positive
citrate,ATP,positive
CO2,ATP,positive
CPT1A,ATP,positive
cysteine,ATP,negative
cytochromecoxidase,ATP,positive
fumarate,ATP,positive
glucose,ATP,positive
glutamate,ATP,positive
H+,ATP,positive
H+-transportingtwo-sectorATPase,ATP,positive
HIF-1,ATP,positive
HK2,ATP,positive
IFNG,ATP,positive
LDHA,ATP,positive
MTOR,ATP,positive
NAD+,ATP,positive
NADH,ATP,positive
NADPH,ATP,positive
NFE2L2,ATP,positive
NH3,ATP,negative
oxaloacetate,ATP,positive
oxygen,ATP,positive
PARP1,ATP,negative
PFKFB3,ATP,positive
PI3K,ATP,positive
PKM,ATP,positive
PPARG,ATP,negative
PPi,ATP,positive
PRKCD,ATP,positive
pyruvatedehydrogenase(acetyl-transferring),ATP,positive
SLC2A1,ATP,positive
STK11,ATP,negative
succinate,ATP,positive
succinatedehydrogenase(ubiquinone),ATP,positive
TGFB1,ATP,positive
TORC1,ATP,positive
CDK1,AURKA,positive
hypoxia,AURKA,positive
MYC,AURKA,positive
TP53,AURKA,negative
BUB1B,AURKB,negative
CDK1,AURKB,positive
PARP1,AURKB,negative
AKT1,BCL2,positive
docosahexaenoicacid,BCL2,positive
E2F1,BCL2,negative
IDH1,BCL2,negative
MAPK14,BCL2,negative
MYC,BCL2,negative
TP53,BCL2,negative
glucose,BRAF,positive
IGFBP7,BRAF,negative
KRAS,BRAF,positive
PI3K,BRAF,positive
proteintyrosinekinase,BRAF,positive
RasGTPase,BRAF,positive
receptorprotein-tyrosinekinase,BRAF,positive
CHEK2,BRCA1,positive
E2F1,BRCA1,positive
H2AFX,BRCA1,positive
TP53,BRCA1,unknown
TP53BP1,BRCA1,positive
TP73,BUB1B,positive
2-hydroxyglutarate,carcinogenesis,positive
acetaldehyde,carcinogenesis,positive
ACLY,carcinogenesis,positive
AKT1,carcinogenesis,positive
AMPK,carcinogenesis,negative
ATP,carcinogenesis,positive
AURKA,carcinogenesis,positive
AURKB,carcinogenesis,positive
BCL2,carcinogenesis,positive
CDK1,carcinogenesis,positive
CDKN2A,carcinogenesis,negative
CHEK2,carcinogenesis,negative
cysteine,carcinogenesis,positive
D-2-hydroxyglutarate,carcinogenesis,positive
dehydroepiandrosterone,carcinogenesis,negative
docosahexaenoicacid,carcinogenesis,negative
EGFR,carcinogenesis,positive
ERBB2,carcinogenesis,positive
FANCD2,carcinogenesis,negative
FASN,carcinogenesis,positive
fumarate,carcinogenesis,positive
GLS,carcinogenesis,positive
glucose,carcinogenesis,positive
H+,carcinogenesis,positive
histonedeacetylase,carcinogenesis,positive
IDH1,carcinogenesis,negative
IDH2,carcinogenesis,negative
IFNARligand,carcinogenesis,negative
IL1B,carcinogenesis,positive
IL6,carcinogenesis,positive
LDHA,carcinogenesis,positive
lysine,carcinogenesis,positive
MDM2,carcinogenesis,positive
metformin,carcinogenesis,negative
MRNcomplex,carcinogenesis,negative
MTOR,carcinogenesis,positive
MYC,carcinogenesis,positive
NFE2L2,carcinogenesis,positive
oxygen,carcinogenesis,positive
phenformin,carcinogenesis,negative
PHGDH,carcinogenesis,positive
PI3K,carcinogenesis,positive
PKM,carcinogenesis,positive
PRKCD,carcinogenesis,positive
proteintyrosinekinase,carcinogenesis,positive
RasGTPase,carcinogenesis,positive
receptorprotein-tyrosinekinase,carcinogenesis,positive
ROS,carcinogenesis,positive
STK11,carcinogenesis,negative
succinate,carcinogenesis,positive
succinatedehydrogenase(ubiquinone),carcinogenesis,negative
TNF,carcinogenesis,positive
TORC1,carcinogenesis,positive
TP53,carcinogenesis,negative
BUB1B,CCNB1,negative
E2F1,CCNB1,positive
KLF4,CCNB1,negative
MYC,CCNB1,positive
AKT1,CD8+T-cell,positive
ERBB2,CD8+T-cell,positive
IFNARligand,CD8+T-cell,positive
IL1B,CD8+T-cell,positive
IL6,CD8+T-cell,positive
metformin,CD8+T-cell,positive
MYC,CD8+T-cell,positive
TORC1,CD8+T-cell,positive
TP53,CD8+T-cell,positive
ABL1,CDK1,negative
AKT1,CDK1,positive
ATM/ATR,CDK1,negative
ATP,CDK1,positive
AURKA,CDK1,positive
CCNB1,CDK1,positive
CHEK2,CDK1,negative
E2F,CDK1,positive
E2F1,CDK1,positive
glucose,CDK1,positive
MYC,CDK1,positive
PI3K,CDK1,positive
RasGTPase,CDK1,negative
TP53,CDK1,negative
CDKN2A,CDK4/6,negative
MYC,CDK4/6,positive
TGFB1,CDK4/6,negative
E2F1,CDKN2A,positive
TP53,CDKN2A,negative
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,cellproliferation,positive
ACACA,cellproliferation,positive
acetylcholine,cellproliferation,positive
acetyl-CoA,cellproliferation,positive
ACLY,cellproliferation,positive
ADAM9,cellproliferation,positive
adenylatekinase,cellproliferation,negative
AKT1,cellproliferation,positive
aldehydedehydrogenase(NAD+),cellproliferation,positive
AMPK,cellproliferation,negative
ATP,cellproliferation,positive
AURKA,cellproliferation,positive
AURKB,cellproliferation,positive
BRAF,cellproliferation,positive
BRCA1,cellproliferation,negative
BRD4,cellproliferation,positive
BUB1B,cellproliferation,positive
CCNB1,cellproliferation,positive
CDK1,cellproliferation,positive
CDK4/6,cellproliferation,positive
CDKN2A,cellproliferation,negative
CHEK1,cellproliferation,positive
CHEK2,cellproliferation,negative
choline,cellproliferation,positive
CPT1A,cellproliferation,positive
cysteine,cellproliferation,positive
cytochromecoxidase,cellproliferation,positive
D-2-hydroxyglutarate,cellproliferation,positive
docosahexaenoicacid,cellproliferation,negative
E2F,cellproliferation,positive
E2F1,cellproliferation,positive
ECT2,cellproliferation,positive
EGFR,cellproliferation,positive
ERBB2,cellproliferation,positive
FANCD2,cellproliferation,positive
FASN,cellproliferation,positive
fumarate,cellproliferation,negative
GAPDH,cellproliferation,positive
GlcNAc,cellproliferation,positive
GLS,cellproliferation,positive
glucosamine,cellproliferation,negative
glucose,cellproliferation,positive
glutamine,cellproliferation,positive
H+-transportingtwo-sectorATPase,cellproliferation,positive
histonedeacetylase,cellproliferation,positive
HMGCR,cellproliferation,positive
IDH1,cellproliferation,negative
IFNARligand,cellproliferation,negative
IFNG,cellproliferation,unknown
IGFBP7,cellproliferation,negative
IL1B,cellproliferation,positive
IL6,cellproliferation,positive
KLF4,cellproliferation,negative
KRAS,cellproliferation,positive
LDHA,cellproliferation,positive
lysine,cellproliferation,positive
MAPK14,cellproliferation,positive
MDM2,cellproliferation,positive
metformin,cellproliferation,negative
monocarboxylatetransporter,cellproliferation,positive
MRNcomplex,cellproliferation,positive
MTHFD2,cellproliferation,positive
MTOR,cellproliferation,positive
MYC,cellproliferation,positive
NAD+,cellproliferation,negative
NADHdehydrogenase(ubiquinone),cellproliferation,positive
NFE2L2,cellproliferation,positive
NOTCH1,cellproliferation,positive
ornithine,cellproliferation,positive
PARP1,cellproliferation,positive
PFKFB3,cellproliferation,positive
PGAM1,cellproliferation,positive
PGD,cellproliferation,positive
phenformin,cellproliferation,negative
PHGDH,cellproliferation,positive
phospholipid,cellproliferation,positive
Pi,cellproliferation,positive
PI3K,cellproliferation,positive
PIK3CA,cellproliferation,positive
PKM,cellproliferation,positive
PPARG,cellproliferation,negative
proteintyrosinekinase,cellproliferation,positive
pyruvate,cellproliferation,positive
RAD9A,cellproliferation,positive
RasGTPase,cellproliferation,positive
receptorprotein-tyrosinekinase,cellproliferation,positive
ROS,cellproliferation,positive
SHMT2,cellproliferation,positive
SLC1A5,cellproliferation,positive
SLC2A1,cellproliferation,positive
SREBF1,cellproliferation,positive
SREBF2,cellproliferation,positive
STK11,cellproliferation,negative
TGFB1,cellproliferation,positive
TNF,cellproliferation,positive
TORC1,cellproliferation,positive
TP53,cellproliferation,negative
TP53BP1,cellproliferation,negative
BRCA1,CHEK1,positive
E2F1,CHEK1,positive
MRNcomplex,CHEK1,positive
PARP1,CHEK1,positive
PI3K,CHEK1,positive
RAD9A,CHEK1,positive
ReplicationfactorA,CHEK1,positive
TP53,CHEK1,negative
TP53BP1,CHEK1,positive
AKT1,CHEK2,negative
ATP,CHEK2,negative
MRNcomplex,CHEK2,positive
TP53BP1,CHEK2,positive
ATP,choline,positive
hypoxia,choline,positive
phosphocholine,choline,positive
aceticacid,citrate,positive
acetyl-CoA,citrate,positive
glucose,citrate,positive
glutamine,citrate,positive
malate,citrate,positive
oxaloacetate,citrate,positive
pyruvate,citrate,positive
ATP,CO2,positive
formicacid,CO2,positive
glucose,CO2,positive
glutamine,CO2,positive
H+,CO2,positive
hypoxia,CO2,negative
lactate,CO2,positive
oxygen,CO2,positive
pyruvate,CO2,positive
ATP,coenzymeA,positive
cysteine,coenzymeA,positive
ACACA,CPT1A,negative
acetyl-CoA,CPT1A,negative
citrate,CPT1A,negative
coenzymeA,CPT1A,negative
docosahexaenoicacid,CPT1A,positive
ROS,CPT1A,negative
NFE2L2,cysteine,positive
ascorbicacid,cytochromecoxidase,positive
ATP,cytochromecoxidase,negative
D-2-hydroxyglutarate,cytochromecoxidase,negative
formicacid,cytochromecoxidase,negative
glucose,cytochromecoxidase,negative
glutamate,cytochromecoxidase,negative
hypoxia,cytochromecoxidase,positive
NFE2L2,cytochromecoxidase,positive
phospholipid,cytochromecoxidase,positive
ROS,cytochromecoxidase,negative
succinate,cytochromecoxidase,negative
TGFB1,cytochromecoxidase,negative
TNF,cytochromecoxidase,negative
ATP,DHFR,positive
NADPH,DHFR,positive
ABL1,E2F,positive
BCL2,E2F,negative
CDK4/6,E2F,positive
hypoxia,E2F,negative
MYC,E2F,positive
TNF,E2F,positive
BCL2,E2F1,negative
CDKN2A,E2F1,negative
CHEK1,E2F1,positive
EGFR,E2F1,positive
hypoxia,E2F1,positive
MYC,E2F1,positive
ROS,E2F1,positive
TP53,E2F1,negative
ABL1,EGFR,negative
acetylcholine,EGFR,positive
AKT1,EGFR,positive
AMPK,EGFR,negative
ATP,EGFR,positive
BRAF,EGFR,negative
cysteine,EGFR,positive
docosahexaenoicacid,EGFR,negative
ERBB2,EGFR,negative
FASN,EGFR,positive
GlcNAc,EGFR,negative
hypoxia,EGFR,positive
IL1B,EGFR,positive
IL6,EGFR,positive
MAPK14,EGFR,positive
PIK3CA,EGFR,negative
PKM,EGFR,positive
receptorprotein-tyrosinekinase,EGFR,positive
ROS,EGFR,positive
TNF,EGFR,positive
TP53,EGFR,positive
docosahexaenoicacid,ERBB2,negative
glutamate,ERBB2,positive
IL1B,ERBB2,positive
IL6,ERBB2,positive
proteintyrosinekinase,ERBB2,positive
receptorprotein-tyrosinekinase,ERBB2,positive
TP53,ERBB2,negative
BRCA1,FANCD2,positive
docosahexaenoicacid,FASN,negative
hypoxia,FASN,positive
SREBF1,FASN,positive
TP53,FASN,unknown
glucose,formicacid,positive
NAD+,formicacid,negative
pyruvate,formicacid,positive
glucose,fumarate,positive
ABL1,G1/Stransitioncheckpoint,positive
AKT1,G1/Stransitioncheckpoint,negative
AMPK,G1/Stransitioncheckpoint,positive
BCL2,G1/Stransitioncheckpoint,negative
BRCA1,G1/Stransitioncheckpoint,positive
BRD4,G1/Stransitioncheckpoint,positive
CDK1,G1/Stransitioncheckpoint,negative
CDK4/6,G1/Stransitioncheckpoint,negative
CDKN2A,G1/Stransitioncheckpoint,positive
CHEK2,G1/Stransitioncheckpoint,positive
E2F,G1/Stransitioncheckpoint,negative
EGFR,G1/Stransitioncheckpoint,negative
ERBB2,G1/Stransitioncheckpoint,negative
glucose,G1/Stransitioncheckpoint,positive
histonedeacetylase,G1/Stransitioncheckpoint,negative
HMGCR,G1/Stransitioncheckpoint,negative
IFNARligand,G1/Stransitioncheckpoint,positive
IFNG,G1/Stransitioncheckpoint,positive
IGFBP7,G1/Stransitioncheckpoint,positive
IL6,G1/Stransitioncheckpoint,positive
KLF4,G1/Stransitioncheckpoint,positive
MAPK14,G1/Stransitioncheckpoint,positive
metformin,G1/Stransitioncheckpoint,positive
MTOR,G1/Stransitioncheckpoint,negative
MYC,G1/Stransitioncheckpoint,negative
oxygen,G1/Stransitioncheckpoint,positive
PARP1,G1/Stransitioncheckpoint,positive
PI3K,G1/Stransitioncheckpoint,negative
PPARG,G1/Stransitioncheckpoint,positive
PRKCD,G1/Stransitioncheckpoint,positive
proteintyrosinekinase,G1/Stransitioncheckpoint,negative
ROS,G1/Stransitioncheckpoint,positive
SMARCB1,G1/Stransitioncheckpoint,positive
STK11,G1/Stransitioncheckpoint,positive
TGFB1,G1/Stransitioncheckpoint,positive
TNF,G1/Stransitioncheckpoint,positive
TP73,G1/Stransitioncheckpoint,positive
AKT1,G2DNAdamagecheckpoint,negative
ATM/ATR,G2DNAdamagecheckpoint,positive
AURKA,G2DNAdamagecheckpoint,negative
BRCA1,G2DNAdamagecheckpoint,positive
CCNB1,G2DNAdamagecheckpoint,negative
H2AFX,G2DNAdamagecheckpoint,positive
MAPK14,G2DNAdamagecheckpoint,positive
MRNcomplex,G2DNAdamagecheckpoint,positive
TP53,G2DNAdamagecheckpoint,positive
TP53BP1,G2DNAdamagecheckpoint,positive
ADP,GAPDH,negative
AMP,GAPDH,negative
AMPK,GAPDH,positive
BCL2,GAPDH,negative
cysteine,GAPDH,negative
glucose,GAPDH,positive
HIF-1,GAPDH,positive
hypoxia,GAPDH,positive
IL1B,GAPDH,positive
lactate,GAPDH,negative
MYC,GAPDH,positive
NAD+,GAPDH,negative
NADH,GAPDH,negative
PARP1,GAPDH,negative
pyruvate,GAPDH,positive
ROS,GAPDH,unknown
TP53,GAPDH,positive
glucose,GlcNAc,positive
ATP,GLS,positive
glutamate,GLS,negative
metformin,GLS,negative
Pi,GLS,positive
dehydroepiandrosterone,glucose,negative
GlcNAc,glucose,positive
LDHA,glucose,positive
monocarboxylatetransporter,glucose,positive
Pi,glucose,negative
PI3K,glucose,positive
SLC2A1,glucose,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,glutamate,positive
aceticacid,glutamate,positive
ADP,glutamate,positive
alpha-ketoglutarate,glutamate,positive
AMPK,glutamate,positive
aspartate,glutamate,positive
ATP,glutamate,positive
choline,glutamate,positive
dehydroepiandrosterone,glutamate,positive
GLUD1,glutamate,positive
glutamine,glutamate,positive
glycine,glutamate,positive
H+,glutamate,positive
hypoxia,glutamate,positive
IFNG,glutamate,positive
lactate,glutamate,positive
NADH,glutamate,positive
NADPH,glutamate,positive
NH3,glutamate,positive
ornithine,glutamate,positive
oxaloacetate,glutamate,positive
Pi,glutamate,positive
PI3K,glutamate,positive
proteintyrosinekinase,glutamate,positive
ROS,glutamate,positive
TNF,glutamate,positive
aceticacid,glutamine,negative
alpha-ketoglutarate,glutamine,positive
aspartate,glutamine,positive
ATP,glutamine,positive
cysteine,glutamine,positive
glutamate,glutamine,positive
malate,glutamine,positive
NH3,glutamine,positive
ornithine,glutamine,positive
oxygen,glutamine,positive
pyruvate,glutamine,positive
SLC1A5,glutamine,positive
ATP,glycine,positive
AMP,H+,positive
AMPK,H+,positive
ATP,H+,positive
CO2,H+,positive
formicacid,H+,positive
glucose,H+,positive
glutamate,H+,positive
hypoxia,H+,positive
lactate,H+,positive
NADH,H+,positive
NADPH,H+,positive
NH3,H+,positive
oxygen,H+,positive
phospholipid,H+,positive
Pi,H+,positive
PPi,H+,positive
pyruvate,H+,positive
ROS,H+,positive
succinate,H+,positive
succinatedehydrogenase(ubiquinone),H+,positive
AKT1,H+-transportingtwo-sectorATPase,positive
alpha-ketoglutarate,H+-transportingtwo-sectorATPase,negative
cytochromecoxidase,H+-transportingtwo-sectorATPase,positive
D-2-hydroxyglutarate,H+-transportingtwo-sectorATPase,negative
glucose,H+-transportingtwo-sectorATPase,positive
oxygen,H+-transportingtwo-sectorATPase,negative
phospholipid,H+-transportingtwo-sectorATPase,positive
succinate,H+-transportingtwo-sectorATPase,negative
TP53,H+-transportingtwo-sectorATPase,positive
glucose,H2AFX,positive
H+,H2AFX,positive
MAPK14,H2AFX,positive
MRNcomplex,H2AFX,positive
acetylcholine,HIF-1,positive
EGFR,HIF-1,positive
glucose,HIF-1,positive
glycine,HIF-1,positive
histonedeacetylase,HIF-1,positive
hypoxia,HIF-1,positive
lactate,HIF-1,positive
MAPK14,HIF-1,positive
PARP1,HIF-1,positive
PKM,HIF-1,positive
pyruvate,HIF-1,positive
ROS,HIF-1,positive
succinate,HIF-1,positive
succinatedehydrogenase(ubiquinone),HIF-1,negative
ubiquinol-cytochromecreductase,HIF-1,positive
aceticacid,histonedeacetylase,negative
ATP,histonedeacetylase,positive
E2F,histonedeacetylase,negative
hypoxia,histonedeacetylase,positive
lactate,histonedeacetylase,negative
pyruvate,histonedeacetylase,negative
TGFB1,histonedeacetylase,positive
TNF,histonedeacetylase,positive
TP53,histonedeacetylase,negative
HIF-1,HK2,positive
hypoxia,HK2,positive
metformin,HK2,negative
MTOR,HK2,positive
MYC,HK2,positive
PPARG,HK2,positive
adenylatekinase,HMGCR,negative
ATP,HMGCR,negative
docosahexaenoicacid,HMGCR,negative
hypoxia,HMGCR,negative
ROS,HMGCR,positive
SREBF1,HMGCR,positive
TGFB1,IFNARligand,negative
TNF,IFNARligand,negative
ATP,IFNG,positive
docosahexaenoicacid,IFNG,negative
ERBB2,IFNG,positive
glutamate,IFNG,positive
IFNARligand,IFNG,positive
MAPK14,IFNG,positive
NOTCH1,IFNG,positive
PI3K,IFNG,positive
PPARG,IFNG,negative
TNF,IFNG,positive
BRAF,IGFBP7,positive
aceticacid,IL1B,negative
acetylcholine,IL1B,negative
ADP,IL1B,positive
ATP,IL1B,positive
BCL2,IL1B,negative
docosahexaenoicacid,IL1B,negative
glucosamine,IL1B,negative
glucose,IL1B,positive
glycine,IL1B,negative
histonedeacetylase,IL1B,positive
hypoxia,IL1B,positive
IFNG,IL1B,positive
lactate,IL1B,positive
MAPK14,IL1B,positive
NFE2L2,IL1B,negative
PI3K,IL1B,positive
PPARG,IL1B,negative
proteintyrosinekinase,IL1B,positive
ROS,IL1B,positive
TNF,IL1B,positive
acetylcholine,IL6,negative
AKT1,IL6,positive
ascorbicacid,IL6,negative
ATP,IL6,positive
dehydroepiandrosterone,IL6,negative
docosahexaenoicacid,IL6,negative
EGFR,IL6,positive
ERBB2,IL6,positive
glucose,IL6,positive
glycine,IL6,negative
hypoxia,IL6,positive
IFNARligand,IL6,positive
IFNG,IL6,positive
IL1B,IL6,positive
MAPK14,IL6,positive
metformin,IL6,negative
MTOR,IL6,negative
NFE2L2,IL6,unknown
